CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;DateDebutOperationPrelBio;CdSupport;LbSupport;DtProdResultatBiologique;HeureResultat;CdParametreResultatBiologique;LbLongParametre;ResIndiceResultatBiologique;CdUniteMesure;SymUniteMesure;CdRqIndiceResultatBiologique;MnemoRqAna;CdMethEval;RefOperationPrelBio;CdProducteur;NomProducteur;CdAccredRsIndiceResultatBiologique;MnAccredRsIndiceResultatBiologique
02010000;LA THUR À STAFFELFELDEN;019;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.7671;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082988;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02010000;LA THUR À STAFFELFELDEN;019;2021-08-05;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.747;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089780;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02011000;LA THUR À ENSISHEIM;003;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.8623;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082989;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02011000;LA THUR À ENSISHEIM;003;2021-08-04;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.7005;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089781;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02013000;L'ILL À OBERHERGHEIM;003;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.3624;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082990;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02013000;L'ILL À OBERHERGHEIM;003;2021-08-25;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.1045;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089782;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02015500;LA LAUCH À LINTHAL (SAEGMATTEN);003;2021-08-04;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.8455;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089783;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02016050;LA LAUCH À BUHL (AVAL);016;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.7071;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082991;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02016050;LA LAUCH À BUHL (AVAL);016;2021-08-04;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.6374;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089784;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02017000;LA LAUCH À MERXHEIM;010;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.4949;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082992;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
