CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
02068700;L'ARENTELE À SAINTE-HELENE;;969933;6807157;26;RGF93 / Lambert 93;88418;Sainte-Hélène;88;Vosges;44;Grand Est;CR309;;;;;;;;A6640300;A6640300;;2;Station qualité située sur un cours d'eau;;1986-01-01;2027-12-31;2022-04-05;;L'ARENTELE À SAINTE-HELENE;0;Nature de la station inconnue;301;;;;60.01
02068747;LE RUISSEAU DE LA PRAIRIE À ROVILLE-AUX-CHENES;;966550;6814701;26;RGF93 / Lambert 93;88402;Roville-aux-Chênes;88;Vosges;44;Grand Est;CR311;;;;;;;;A6700350;A6700350;;2;Station qualité située sur un cours d'eau;;2014-01-01;2026-12-31;2021-11-18;;LE RUISSEAU DE LA PRAIRIE À ROVILLE-AUX-CHENES;0;Nature de la station inconnue;268;;;;
02068790;LE RUISSEAU DE LA NAUVE À SAINT-MAURICE-SUR-MORTAGNE;;965550;6816008;26;RGF93 / Lambert 93;88425;Saint-Maurice-sur-Mortagne;88;Vosges;44;Grand Est;CR313;;;;;;;;A6700530;A6700530;;2;Station qualité située sur un cours d'eau;;2009-01-01;2021-12-31;2019-11-05;;LE RUISSEAU DE LA NAUVE À SAINT-MAURICE-SUR-MORTAGNE;0;Nature de la station inconnue;266;;;;
02068800;LA MORTAGNE À SAINT-MAURICE-SUR-MORTAGNE;;965241;6816799;26;RGF93 / Lambert 93;88425;Saint-Maurice-sur-Mortagne;88;Vosges;44;Grand Est;CR288;;;;;;;;A6700120;A6--0120;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2023-04-04;;LA MORTAGNE À SAINT-MAURICE-SUR-MORTAGNE;0;Nature de la station inconnue;260;;;;347.99
02070500;LE SANON À LAGARDE;;973546;6849593;26;RGF93 / Lambert 93;57375;Lagarde;57;Moselle;44;Grand Est;CR320;;;;;;;;A6810200;A68-0200;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2022-04-04;;LE SANON À LAGARDE;0;Nature de la station inconnue;232;;;;72.68
02080200;LA SEILLE À ASSENONCOURT;;977894;6858929;26;RGF93 / Lambert 93;57035;Assenoncourt;57;Moselle;44;Grand Est;CR332;;;;;;;;A7500100;A7--0100;;2;Station qualité située sur un cours d'eau;Station nommée initialement et par erreur LE RUISSEAU DE ZEBOURG À ASSENONCOURT. Changement de nom le 04/10/2012.;2010-01-01;;2023-09-25;;LA SEILLE À ASSENONCOURT;0;Nature de la station inconnue;215;;;;
02080500;LE RUISSEAU DE L'ÉTANG DE NOLWEIHER À GUERMANGE;;980349;6861615;26;RGF93 / Lambert 93;57272;Guermange;57;Moselle;44;Grand Est;CR355;;;;;;;;A7500650;A7500650;;2;Station qualité située sur un cours d'eau;;2008-01-01;2027-12-31;2023-09-25;;LE RUISSEAU DE L'ÉTANG DE NOLWEIHER À GUERMANGE;0;Nature de la station inconnue;213;;;;
02081000;LA SEILLE À MULCEY;;969466;6861407;26;RGF93 / Lambert 93;57493;Mulcey;57;Moselle;44;Grand Est;CR333;;;;;;;;A7540100;A7--0100;;2;Station qualité située sur un cours d'eau;Station sélectionnée dans le sous-réseau "RCS pesticides 25%";1971-01-01;;2023-03-17;;LA SEILLE À MULCEY;0;Nature de la station inconnue;205;;;;196.37
02081030;LE RUISSEAU DE GUEBLANGE À BLANCHE-EGLISE;;970444;6861083;26;RGF93 / Lambert 93;57090;Blanche-Église;57;Moselle;44;Grand Est;CR356;;;;;;;;A7540300;A7540300;;2;Station qualité située sur un cours d'eau;;2003-01-01;2027-12-31;2023-04-12;;LE RUISSEAU DE GUEBLANGE À BLANCHE-EGLISE;0;Nature de la station inconnue;204;;;;
02081100;LA PETITE SEILLE À HABOUDANGE;;963636;6870318;26;RGF93 / Lambert 93;57281;Haboudange;57;Moselle;44;Grand Est;CR333;;;;;;;;A7610200;A76-0200;;2;Station qualité située sur un cours d'eau;Station sélectionnée dans le sous-réseau "RCS pesticides 25%";1988-01-01;;2023-03-17;Contrôle de surveillance DCE;LA PETITE SEILLE À HABOUDANGE;0;Nature de la station inconnue;213;;;;42.83
